time_iso8601,forks_cumulative
2025-09-29 00:00:00+00:00,45176
2025-09-30 00:00:00+00:00,45183
2025-10-01 00:00:00+00:00,45187
2025-10-02 00:00:00+00:00,45194
2025-10-03 00:00:00+00:00,45200
2025-10-04 00:00:00+00:00,45212
2025-10-05 00:00:00+00:00,45216
2025-10-06 00:00:00+00:00,45224
2025-10-07 00:00:00+00:00,45229
2025-10-08 00:00:00+00:00,45237
2025-10-09 00:00:00+00:00,45249
2025-10-10 00:00:00+00:00,45256
2025-10-11 00:00:00+00:00,45260
2025-10-12 00:00:00+00:00,45266
2025-10-13 00:00:00+00:00,45277
2025-10-14 00:00:00+00:00,45285
2025-10-15 00:00:00+00:00,45289
2025-10-16 00:00:00+00:00,45292
2025-10-17 00:00:00+00:00,45301
2025-10-18 00:00:00+00:00,45308
2025-10-19 00:00:00+00:00,45322
2025-10-20 00:00:00+00:00,45329
2025-10-21 00:00:00+00:00,45336
2025-10-22 00:00:00+00:00,45343
2025-10-23 00:00:00+00:00,45351
2025-10-24 00:00:00+00:00,45362
2025-10-25 00:00:00+00:00,45378
2025-10-26 00:00:00+00:00,45384
2025-10-27 00:00:00+00:00,45398
2025-10-28 00:00:00+00:00,45407
2025-10-29 00:00:00+00:00,45412
2025-10-30 00:00:00+00:00,45417
2025-10-31 00:00:00+00:00,45423
2025-11-01 00:00:00+00:00,45425
2025-11-02 00:00:00+00:00,45435
2025-11-03 00:00:00+00:00,45439
2025-11-04 00:00:00+00:00,45451
2025-11-05 00:00:00+00:00,45460
2025-11-06 00:00:00+00:00,45472
2025-11-07 00:00:00+00:00,45483
2025-11-08 00:00:00+00:00,45487
2025-11-09 00:00:00+00:00,45492
2025-11-10 00:00:00+00:00,45502
2025-11-11 00:00:00+00:00,45510
2025-11-12 00:00:00+00:00,45516
2025-11-13 00:00:00+00:00,45520
2025-11-14 00:00:00+00:00,45526
2025-11-15 00:00:00+00:00,45532
2025-11-16 00:00:00+00:00,45538
2025-11-17 00:00:00+00:00,45555
2025-11-18 00:00:00+00:00,45565
2025-11-19 00:00:00+00:00,45573
2025-11-20 00:00:00+00:00,45588
2025-11-21 00:00:00+00:00,45591
2025-11-22 00:00:00+00:00,45596
2025-11-23 00:00:00+00:00,45599
2025-11-24 00:00:00+00:00,45620
2025-11-25 00:00:00+00:00,45629
2025-11-26 00:00:00+00:00,45639
2025-11-27 00:00:00+00:00,45657
2025-11-28 00:00:00+00:00,45665
2025-11-29 00:00:00+00:00,45669
